Datum;MW
01.01.2017 00:00:00;8.774138
01.01.2017 00:15:00;8.206897
01.01.2017 00:30:00;7.736207
01.01.2017 00:45:00;7.205172
01.01.2017 01:00:00;7.92931
01.01.2017 01:15:00;8.894828
01.01.2017 01:30:00;8.715517
01.01.2017 01:45:00;7.567241
01.01.2017 02:00:00;8.146552
01.01.2017 02:15:00;7.253448
01.01.2017 02:30:00;7.977586
01.01.2017 02:45:00;7.615517
01.01.2017 03:00:00;7.482759
01.01.2017 03:15:00;6.505172
01.01.2017 03:30:00;6.601724
01.01.2017 03:45:00;7.289655
01.01.2017 04:00:00;7.748276
01.01.2017 04:15:00;6.915517
01.01.2017 04:30:00;6.65
01.01.2017 04:45:00;6.601724
01.01.2017 05:00:00;6.939655
01.01.2017 05:15:00;7.132759
01.01.2017 05:30:00;7.555172
01.01.2017 05:45:00;7.35
01.01.2017 06:00:00;6.263793
01.01.2017 06:15:00;5.503448
01.01.2017 06:30:00;4.694828
01.01.2017 06:45:00;6.891379
01.01.2017 07:00:00;5.781034
01.01.2017 07:15:00;6.118966
01.01.2017 07:30:00;7.22931
01.01.2017 07:45:00;6.65
01.01.2017 08:00:00;6.915517
01.01.2017 08:15:00;6.541379
01.01.2017 08:30:00;6.131034
01.01.2017 08:45:00;6.903448
01.01.2017 09:00:00;7.205172
01.01.2017 09:15:00;7.386207
01.01.2017 09:30:00;6.372414
01.01.2017 09:45:00;6.505172
01.01.2017 10:00:00;5.925862
01.01.2017 10:15:00;5.044828
01.01.2017 10:30:00;4.972414
01.01.2017 10:45:00;7.506897
01.01.2017 11:00:00;6.855172
01.01.2017 11:15:00;5.962069
01.01.2017 11:30:00;8.025862
01.01.2017 11:45:00;7.543103
01.01.2017 12:00:00;6.625862
01.01.2017 12:15:00;7.060345
01.01.2017 12:30:00;6.782759
01.01.2017 12:45:00;8.098276
01.01.2017 13:00:00;8.134483
01.01.2017 13:15:00;7.92931
01.01.2017 13:30:00;8.556897
01.01.2017 13:45:00;6.022414
01.01.2017 14:00:00;7.796552
01.01.2017 14:15:00;7.374138
01.01.2017 14:30:00;7.687931
01.01.2017 14:45:00;8.146552
01.01.2017 15:00:00;8.544828
01.01.2017 15:15:00;7.784483
01.01.2017 15:30:00;8.412069
01.01.2017 15:45:00;7.362069
01.01.2017 16:00:00;8.75
01.01.2017 16:15:00;7.832759
01.01.2017 16:30:00;8.255172
01.01.2017 16:45:00;8.455862
01.01.2017 17:00:00;8.556897
01.01.2017 17:15:00;8.691379
01.01.2017 17:30:00;8.025862
01.01.2017 17:45:00;8.025862
01.01.2017 18:00:00;8.834483
01.01.2017 18:15:00;7.868966
01.01.2017 18:30:00;8.315517
01.01.2017 18:45:00;7.760345
01.01.2017 19:00:00;8.454517
01.01.2017 19:15:00;8.356897
01.01.2017 19:30:00;7.651724
01.01.2017 19:45:00;8.243103
01.01.2017 20:00:00;8.505172
01.01.2017 20:15:00;8.582759
01.01.2017 20:30:00;7.808621
01.01.2017 20:45:00;8.762069
01.01.2017 21:00:00;8.774138
01.01.2017 21:15:00;8.556897
01.01.2017 21:30:00;5.708621
01.01.2017 21:45:00;7.506897
01.01.2017 22:00:00;6.637931
01.01.2017 22:15:00;7.760345
01.01.2017 22:30:00;6.987931
01.01.2017 22:45:00;7.868966
01.01.2017 23:00:00;8.786207
01.01.2017 23:15:00;8.605172
01.01.2017 23:30:00;8.650348
01.01.2017 23:45:00;8.484483
